공고일자,공고명,연도,수요기관,업무구분,품목대분류,유찰,응찰수,무응찰,입찰진행상태값,공고상태값,제조물품제한여부,긴급공고여부
20240216,24-01-036 호흡장치 1품목,2024,공군교육사령부,물품(내자),국방·치안·보안,False,1.0,False,낙찰자선정,등록공고,,N
20240312,A-2부대 관급자재(다기능성페인트),2024,육군제1891부대,물품(내자),제조부품,True,0.0,True,유찰,변경공고,,N
20240312,H-1부대 관급자재(다기능성페인트),2024,육군제1891부대,물품(내자),제조부품,True,0.0,True,유찰,등록공고,,N
20240319,A-2부대 관급자재(다기능성페인트),2024,육군제1891부대,물품(내자),제조부품,False,1.0,False,낙찰자선정,재공고,,N
20240319,H-1부대 관급자재(다기능성페인트),2024,육군제1891부대,물품(내자),제조부품,False,1.0,False,낙찰자선정,재공고,,N
20240403,창공대 체력단련장 지능형 카트 구매,2024,육군 인사사령부,물품(내자),차량·수송장비,False,1.0,False,낙찰자선정,등록공고,,N
20240614,24년 CCC 사무비품 구매(전투화 세척기),2024,육군 제15보병사단,물품(내자),청소장비,False,1.0,False,낙찰자선정,등록공고,,Y
20240703,[24-육-151] 무선도청탐지시스템 구매,2024,육군본부 기획관리참모부,물품(내자),정보통신,False,1.0,False,낙찰자선정,등록공고,,N
20240709,[24-육-151] 무선도청탐지시스템 구매,2024,육군본부 기획관리참모부,물품(내자),정보통신,False,1.0,False,낙찰자선정,등록공고,,N
20240710,[24-육-151] 무선도청탐지시스템 구매,2024,육군본부 기획관리참모부,물품(내자),정보통신,False,1.0,False,낙찰자선정,등록공고,,N
20240813,덕우관 강당 옥상 방수,2024,육군종합군수학교,물품(내자),건축자재,False,1.0,False,낙찰자선정,등록공고,,N
20240925,소화기 구매(리튬소화기),2024,국방부 국군화생방방호사령부,물품(내자),국방·치안·보안,False,1.0,False,낙찰자선정,등록공고,,N
20241203,(23-100) 00부대 병영생활관 개수 관급(창호),2024,제5군단사령부,물품(내자),건축자재,False,1.0,False,낙찰자선정,등록공고,,N
20240103,(236514-C) PLS세트 제조,2024,국방부 국군재정관리단,물품(내자),차량·수송장비,True,2.0,False,유찰,변경공고,,N
20240119,(237055-H)23년 의무장비(24시간 원격판독시스템)구매,2024,국방부 국군재정관리단,물품(내자),의료장비,False,2.0,False,낙찰자선정,재공고,,Y
20240306,(236514-C) PLS세트 제조,2024,국방부 국군재정관리단,물품(내자),차량·수송장비,False,2.0,False,낙찰자선정,재공고,,N
20240306,(236513-B) 영상모의 사격훈련장비 구축,2024,육군군수사령부,물품(내자),악기·교재,False,2.0,False,개찰완료,재공고,,Y
20240306,24-F-브리핑시스템 도입(리스물건),2024,국방부 국군재정관리단,물품(내자),가정용품,False,5.0,False,개찰완료,등록공고,,Y
20240315,공병작전과 연구용역,2024,국방부 합동참모본부,물품(내자),경영·행정서비스,True,0.0,True,유찰,등록공고,,N
20240318,24-N-00창 CBT 장비 교체사업,2024,국방부 국군재정관리단,물품(내자),정보통신,True,2.0,False,유찰,등록공고,,Y
20240328,(246034-C) 위국헌신 청춘 감사앨범 제조,2024,국방부 국군재정관리단,물품(내자),악기·교재,False,3.0,False,낙찰자선정,등록공고,,Y
20240329,24-N-00사 CBT교실 전산장비 신규/교체,2024,국방부 국군재정관리단,물품(내자),정보통신,False,3.0,False,개찰완료,등록공고,,Y
20240417,24-N-00창 CBT 장비 교체사업,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,재공고,,N
20240516,(246012-G) 24년 LAN 교체사업(리스물건),2024,국방부 국군재정관리단,물품(내자),정보통신,False,4.0,False,낙찰자선정,변경공고,,Y
20240422,24~25-N-스마트군항 시범부대 구축,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240430,(246006-G) 비행협조소 무인화(RCU)장비 고도화(교체)사업(리스물건),2024,국방부 국군재정관리단,물품(내자),정보통신,True,0.0,True,유찰,등록공고,,Y
20240502,24-04-127 군악 동 행사복 등 6품목 제조 구매,2024,공군교육사령부,물품(내자),피복·개인용품,True,0.0,True,유찰,등록공고,N,N
20240502,24-M-CBT교실 전산장비 신규/교체,2024,국방부 국군재정관리단,물품(내자),정보통신,False,2.0,False,개찰완료,등록공고,,Y
20240503,해상전력시험평가과 연구용역,2024,국방부 합동참모본부,물품(내자),경영·행정서비스,True,0.0,True,유찰,등록공고,,Y
20240507,"합동군사우주력 발전 심포지엄 행사 용역(2단계경쟁 규격,가격 동시)",2024,국방부 합동참모본부,물품(내자),경영·행정서비스,True,0.0,True,유찰,변경공고,,N
20240508,24-F-출입통제체계 교체(리스물건),2024,국방부 국군재정관리단,물품(내자),운반·포장,True,0.0,True,유찰,등록공고,,Y
20240510,(247018-H)지휘통신신속대응장비추가도입(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,0.0,True,유찰,등록공고,,Y
20240520,"합동군사우주력 발전 심포지엄 행사 용역(2단계경쟁 규격,가격 동시)",2024,국방부 합동참모본부,물품(내자),경영·행정서비스,True,0.0,True,유찰,재공고,,N
20240528,(246021-G) 24년 VoIP 교환기 교체사업(리스자산),2024,국방부 국군재정관리단,물품(내자),정보통신,True,0.0,True,유찰,등록공고,,Y
20240531,"(236064-B) 충진킷트, 친환경소화기용 제조",2024,국방부 국군재정관리단,물품(내자),산업기계,True,0.0,True,유찰,등록공고,,Y
